,countries,genres,movie_duration,year
81,"['США', 'Новая Зеландия']","['фэнтези', 'приключения']",169,2012
82,['США'],"['фантастика', 'фэнтези', 'боевик', 'приключения']",142,2012
83,['США'],"['фэнтези', 'драма', 'мелодрама', 'приключения']",115,2012
84,['США'],"['фантастика', 'боевик', 'комедия', 'приключения']",106,2012
85,['США'],"['фантастика', 'боевик', 'приключения']",132,2012
86,['Россия'],"['мультфильм', 'комедия', 'приключения', 'фэнтези', 'семейный']",65,2012
87,"['Великобритания', 'США']","['боевик', 'триллер', 'приключения']",143,2012
88,"['Испания', 'США']","['фэнтези', 'боевик', 'приключения']",99,2012
89,['США'],"['фантастика', 'боевик', 'приключения']",131,2012
90,['США'],"['фантастика', 'боевик', 'триллер', 'приключения']",125,2012
91,"['США', 'Великобритания']","['фантастика', 'детектив', 'приключения']",124,2012
92,['США'],"['боевик', 'триллер', 'приключения']",103,2012
93,['США'],"['фантастика', 'фэнтези', 'боевик', 'комедия', 'приключения', 'семейный']",94,2012
94,"['Великобритания', 'США']","['фантастика', 'боевик', 'триллер', 'драма', 'криминал']",165,2012
95,['США'],"['фэнтези', 'комедия']",106,2012
96,"['Германия', 'Канада', 'США', 'Франция', 'Великобритания']","['ужасы', 'фантастика', 'боевик', 'триллер']",95,2012
97,"['США', 'Германия', 'Гонконг', 'Сингапур']","['фантастика', 'боевик', 'драма', 'детектив']",172,2012
98,['Россия'],"['военный', 'драма', 'боевик']",135,2013
99,"['США', 'Новая Зеландия']","['фэнтези', 'приключения']",161,2013
100,"['Китай', 'США']","['фантастика', 'боевик', 'приключения']",131,2013
101,['Россия'],"['семейный', 'комедия']",100,2013
102,['США'],"['фантастика', 'боевик', 'приключения']",112,2013
103,"['США', 'Франция', 'Япония']","['мультфильм', 'фантастика', 'фэнтези', 'комедия', 'приключения', 'семейный']",98,2013
104,['США'],"['боевик', 'триллер', 'драма', 'криминал']",130,2013
105,['США'],"['мультфильм', 'мюзикл', 'фэнтези', 'комедия', 'мелодрама', 'приключения', 'семейный']",102,2013
106,"['США', 'Тайвань', 'Великобритания', 'Франция', 'Канада', 'Индия']","['фэнтези', 'драма', 'приключения']",127,2013
107,['Россия'],"['спорт', 'драма', 'биография']",134,2013
108,['США'],"['мультфильм', 'фэнтези', 'комедия', 'приключения', 'семейный']",98,2013
109,['США'],"['фэнтези', 'приключения', 'комедия', 'семейный']",127,2013
110,['Россия'],['комедия'],100,2013
111,['США'],"['ужасы', 'фантастика', 'боевик', 'триллер', 'приключения']",116,2013
112,['США'],"['фантастика', 'боевик', 'триллер', 'детектив', 'приключения']",146,2013
113,"['США', 'Великобритания', 'Австралия', 'Япония']","['фантастика', 'боевик', 'триллер', 'приключения']",126,2013
114,"['Великобритания', 'США']","['фантастика', 'триллер', 'драма']",90,2013
115,['США'],"['мультфильм', 'фэнтези', 'комедия', 'приключения', 'семейный']",107,2013
116,"['США', 'Франция']","['триллер', 'криминал', 'детектив']",115,2013
117,['США'],"['фантастика', 'боевик', 'приключения']",131,2013
118,"['США', 'Китай']","['фантастика', 'боевик', 'приключения']",165,2014
119,['США'],"['фантастика', 'боевик', 'приключения', 'комедия']",121,2014
120,['США'],"['фэнтези', 'семейный', 'мелодрама', 'приключения']",97,2014
121,"['Россия', 'Украина', 'Германия', 'Великобритания', 'Чехия']","['фэнтези', 'триллер', 'приключения']",128,2014
122,['США'],"['драма', 'приключения', 'фэнтези']",138,2014
123,"['Новая Зеландия', 'США']","['фэнтези', 'приключения']",144,2014
124,['США'],"['мультфильм', 'фэнтези', 'комедия', 'приключения', 'семейный']",105,2014
125,['США'],"['фантастика', 'боевик', 'комедия', 'приключения']",101,2014
126,['США'],"['мультфильм', 'мюзикл', 'комедия', 'приключения', 'семейный']",101,2014
127,['США'],"['фэнтези', 'боевик', 'драма', 'приключения']",119,2014
128,"['США', 'Великобритания']","['фантастика', 'драма', 'приключения']",169,2014
129,['США'],"['боевик', 'приключения']",98,2014
130,"['США', 'Великобритания', 'Канада']","['фантастика', 'боевик', 'триллер', 'приключения']",131,2014
131,"['Франция', 'Тайвань', 'Германия']","['боевик', 'фантастика']",89,2014
132,['США'],"['мультфильм', 'фантастика', 'комедия', 'семейный', 'боевик']",105,2014
133,"['США', 'Япония']","['ужасы', 'фэнтези', 'боевик', 'драма', 'военный']",100,2014
134,"['США', 'Великобритания', 'Канада']","['фантастика', 'боевик', 'драма']",130,2014
